Регіон,2021,2022,2023,2024,2025,Зміна 2025 / 2021 (%),Частка регіону в 2025 (%)
Київ,"647,461","2,087,508","2,568,771","3,091,932","2,726,425",321%,17.4%
Полтавська,"88,089","596,304","364,535","450,198","300,440",241%,1.9%
Київська,"1,035,377",0,"2,274,644","1,411,393","2,693,538",160%,17.2%
Львівська,"690,826","1,634,657","766,726","2,495,480","1,183,091",71%,7.5%
Вінницька,"875,118",0,"1,967,027","1,273,238","1,319,714",51%,8.4%
Волинська,"527,019","155,098","761,015","628,299","736,506",40%,4.7%
Запорізька,"23,746","48,952","29,516","112,678","30,150",27%,0.2%
Івано-Франківська,"1,198,011","1,033,043","907,134","1,589,464","1,494,651",25%,9.5%
Черкаська,"394,381","187,732","461,659","356,240","452,280",15%,2.9%
Рівненська,"666,961","494,498","556,934","898,635","759,894",14%,4.8%
Чернігівська,"289,799","217,494","152,683","263,761","265,826",-8%,1.7%
Хмельницька,"818,443","124,121","563,659","899,263","680,786",-17%,4.3%
Закарпатська,"982,917","729,033","902,186","734,672","793,762",-19%,5.1%
Миколаївська,"162,205","60,949","77,486","85,492","124,840",-23%,0.8%
Чернівецька,"927,264","505,532","571,424","825,333","705,970",-24%,4.5%
Донецька,"109,524","14,732","6,418","62,107","73,034",-33%,0.5%
Житомирська,"468,982","287,471","270,171","432,852","265,242",-43%,1.7%
Дніпропетровська,"165,051","392,383","597,592","733,544","85,084",-48%,0.5%
Тернопільська,"1,316,046","410,023","521,714","507,212","553,512",-58%,3.5%
Сумська,"286,757","79,799","153,192","140,531","116,725",-59%,0.7%
Кіровоградська,"140,668","68,116","68,476","133,485","23,343",-83%,0.1%
Харківська,"565,164","145,831","610,045","143,869","90,477",-84%,0.6%
Херсонська,"220,526","30,248","2,217","12,824","17,209",-92%,0.1%
Одеська,"2,590,993","1,522,503","718,445","1,276,184","199,298",-92%,1.3%
Луганська,"15,019","2,824",0,0,0,-100%,0.0%
Усього по Україні,"15,208,368","10,830,873","15,875,692","18,560,710","15,693,822",3.19%,100.0%
