Район,Рік,Кількість кв метрів
Київ,2021,"647,461"
Київ,2022,"2,087,508"
Київ,2023,"2,568,771"
Київ,2024,"3,091,932"
Київ,2025,"2,726,425"
Полтавська,2021,"88,089"
Полтавська,2022,"596,304"
Полтавська,2023,"364,535"
Полтавська,2024,"450,198"
Полтавська,2025,"300,440"
Київська,2021,"1,035,377"
Київська,2022,0
Київська,2023,"2,274,644"
Київська,2024,"1,411,393"
Київська,2025,"2,693,538"
Львівська,2021,"690,826"
Львівська,2022,"1,634,657"
Львівська,2023,"766,726"
Львівська,2024,"2,495,480"
Львівська,2025,"1,183,091"
Вінницька,2021,"875,118"
Вінницька,2022,0
Вінницька,2023,"1,967,027"
Вінницька,2024,"1,273,238"
Вінницька,2025,"1,319,714"
Волинська,2021,"527,019"
Волинська,2022,"155,098"
Волинська,2023,"761,015"
Волинська,2024,"628,299"
Волинська,2025,"736,506"
Запорізька,2021,"23,746"
Запорізька,2022,"48,952"
Запорізька,2023,"29,516"
Запорізька,2024,"112,678"
Запорізька,2025,"30,150"
Івано-Франківська,2021,"1,198,011"
Івано-Франківська,2022,"1,033,043"
Івано-Франківська,2023,"907,134"
Івано-Франківська,2024,"1,589,464"
Івано-Франківська,2025,"1,494,651"
Черкаська,2021,"394,381"
Черкаська,2022,"187,732"
Черкаська,2023,"461,659"
Черкаська,2024,"356,240"
Черкаська,2025,"452,280"
Рівненська,2021,"666,961"
Рівненська,2022,"494,498"
Рівненська,2023,"556,934"
Рівненська,2024,"898,635"
Рівненська,2025,"759,894"
Чернігівська,2021,"289,799"
Чернігівська,2022,"217,494"
Чернігівська,2023,"152,683"
Чернігівська,2024,"263,761"
Чернігівська,2025,"265,826"
Хмельницька,2021,"818,443"
Хмельницька,2022,"124,121"
Хмельницька,2023,"563,659"
Хмельницька,2024,"899,263"
Хмельницька,2025,"680,786"
Закарпатська,2021,"982,917"
Закарпатська,2022,"729,033"
Закарпатська,2023,"902,186"
Закарпатська,2024,"734,672"
Закарпатська,2025,"793,762"
Миколаївська,2021,"162,205"
Миколаївська,2022,"60,949"
Миколаївська,2023,"77,486"
Миколаївська,2024,"85,492"
Миколаївська,2025,"124,840"
Чернівецька,2021,"927,264"
Чернівецька,2022,"505,532"
Чернівецька,2023,"571,424"
Чернівецька,2024,"825,333"
Чернівецька,2025,"705,970"
Донецька,2021,"109,524"
Донецька,2022,"14,732"
Донецька,2023,"6,418"
Донецька,2024,"62,107"
Донецька,2025,"73,034"
Житомирська,2021,"468,982"
Житомирська,2022,"287,471"
Житомирська,2023,"270,171"
Житомирська,2024,"432,852"
Житомирська,2025,"265,242"
Дніпропетровська,2021,"165,051"
Дніпропетровська,2022,"392,383"
Дніпропетровська,2023,"597,592"
Дніпропетровська,2024,"733,544"
Дніпропетровська,2025,"85,084"
Тернопільська,2021,"1,316,046"
Тернопільська,2022,"410,023"
Тернопільська,2023,"521,714"
Тернопільська,2024,"507,212"
Тернопільська,2025,"553,512"
Сумська,2021,"286,757"
Сумська,2022,"79,799"
Сумська,2023,"153,192"
Сумська,2024,"140,531"
Сумська,2025,"116,725"
Кіровоградська,2021,"140,668"
Кіровоградська,2022,"68,116"
Кіровоградська,2023,"68,476"
Кіровоградська,2024,"133,485"
Кіровоградська,2025,"23,343"
Харківська,2021,"565,164"
Харківська,2022,"145,831"
Харківська,2023,"610,045"
Харківська,2024,"143,869"
Харківська,2025,"90,477"
Херсонська,2021,"220,526"
Херсонська,2022,"30,248"
Херсонська,2023,"2,217"
Херсонська,2024,"12,824"
Херсонська,2025,"17,209"
Одеська,2021,"2,590,993"
Одеська,2022,"1,522,503"
Одеська,2023,"718,445"
Одеська,2024,"1,276,184"
Одеська,2025,"199,298"
Луганська,2021,"15,019"
Луганська,2022,"2,824"
Луганська,2023,0
Луганська,2024,0
Луганська,2025,0
